id,question,option_a,option_b,option_c,option_d,correct_answer
1,Òkan lára igbésè ti ó ya kikọ létà àigbagbèfé sótò ni., ikádii,déèti,àdirési akolétà,àkolé létà,àkolé létà
2,"""ijànbá okò kan ti ó sójú mi"", lè jé orí-orò fún àròko ",ajemó-isipayá,aşàpèjúwe, asotàn,Aşàriyànjiyàn, asotàn
3,"""Ilé ayé"", lè jé orí-òrò fún àròko",aşàpèjúwe,ajemó-isipayá,Aşàríyànjiyàn,asòtàn,ajemó-isipayá
4,"""Owó lègbón, omo làbúrờ"", lè jé orí-orò fún àròko",aşàpèjúwe,Aşàríyànjiyàn,asotàn,ajemó-isipayá,Aşàríyànjiyàn
5,Èwo ni kò tònà? ni,Obè,İgò,Akún,Olè,Olè
6,"Fáwèli àránmúpè, àhánupè iwájú ni",i,an,in,u,in
7,Mófimù mélòó ló wà nínú 'òpéléńgé?,Méji,Méta,Mérin,Márùn-ún,Márùn-ún
8,Ewo ni onà işenupè rè jé àséèsétán?,[w],[d],[r],[I],[w]
9,"""Bóńdùrù"" jé òrò àyálò tí a yá nípasè",òlàjú,oro-ajé, ètò-èkó,èsin,oro-ajé
10,Èyí tí ó ní aşáájú orà-işe nínú ni,Ó pàdéè mi, Ở rò mi ro ire, Ó ń féé lọ,Ó şe mi lóore,Ó şe mi lóore
